,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Budhabalang,Budhabalang,GPE,0.01750000,0.45750000,en,1.00000000,,0,,,,,,
Balasore,Balasore,GPE,0.15416667,1.30416667,en,1.00000000,,0,,,,,,
Serbia,Serbia,GPE,0.00000000,0.00000000,en,1.00000000,4054598-2,6290252,X,44.81891900,20.45998000,EUROPE-AFRICA,Serbia,MED
Kangra,Kangra,GPE,-0.02500000,0.35000000,en,1.00000000,,0,,,,,,
Himachal Pradesh's,Himachal Pradesh's,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Hopland,Hopland,GPE,-0.03333333,0.23333333,en,1.00000000,,-1,,,,,,
northwest mountanious province,northwest mountanious province,GPE,-0.20000000,0.00000000,en,1.00000000,,-1,,,,,,
Mid Coast,Mid Coast,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Hino et al.,Hino et al.,GPE,0.12166667,0.86166667,en,1.00000000,,-1,,,,,,
the Sai River,the Sai River,LOC,0.47222222,0.62777778,en,1.00000000,,-1,,,,,,
the Coastal Empire,the Coastal Empire,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Southeast US,Southeast US,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Swannanoa,Swannanoa,GPE,0.75000000,0.75000000,en,1.00000000,,-1,,,,,,
Northern Virginia,Northern Virginia,LOC,-0.06250000,1.68750000,en,1.00000000,,-1,,,,,,
Arlington County,Arlington County,GPE,0.00000000,1.00000000,en,1.00000000,,-1,,,,,,
SARAJEVO,SARAJEVO,GPE,-0.40555556,0.53333333,en,1.00000000,,-1,,,,,,
libxmp,libxmp,GPE,0.00000000,0.06666667,en,1.00000000,,-1,,,,,,
the Florida Panhandle,the Florida Panhandle,LOC,1.09444444,1.59444444,en,1.00000000,,-1,,,,,,
ORLANDO,ORLANDO,GPE,0.00000000,0.20000000,en,1.00000000,,-1,,,,,,
Central,Central,LOC,0.44444444,1.59861111,en,1.00000000,,-1,,,,,,
Sarajevo,Sarajevo,GPE,-0.40555556,0.53333333,en,1.00000000,,-1,,,,,,
Leicester,Leicester,GPE,0.10000000,0.47500000,en,1.00000000,,-1,,,,,,
consu,consu,GPE,0.40277778,0.68055556,en,1.00000000,,-1,,,,,,
Naples,Naples,GPE,0.05819129,0.36098485,en,1.00000000,,-1,,,,,,
